TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.eclipse.californium.elements.DtlsEndpointContextMatcherTest.testStrictWithConnectionEndpointContext,8,33,17,2,1,0.09,113,223,0,26,45,3,2,0.37,0.6
org.eclipse.californium.elements.DtlsEndpointContextMatcherTest.testStrictWithoutConnectionEndpointContext,8,9,5,1,1,0.45,65,80,0,12,20,1,1,0.38,0.5
org.eclipse.californium.elements.DtlsEndpointContextMatcherTest.testStrictWithScopedConnectionEndpointContext,8,16,8,2,1,0.19,93,122,0,27,36,4,2,0.43,0.67
org.eclipse.californium.elements.EndpointContextUtilTest.testEndpointContextUtil,5,12,6,2,1,0.55,78,101,1,12,31,1,2,0.28,0.33
org.eclipse.californium.elements.EndpointContextUtilTest.testEndpointContextUtilWithAdditionalKey,5,12,6,2,1,0.55,79,101,1,12,31,1,2,0.28,0.33
org.eclipse.californium.elements.EndpointContextUtilTest.testFollowUpEndpointContextNoneHandshake,6,16,6,1,1,0.44,48,91,1,24,18,4,2,0.57,0.67
org.eclipse.californium.elements.EndpointContextUtilTest.testFollowUpEndpointContextStartHandshake,6,21,7,1,1,0.33,51,119,1,9,37,0,6,0.2,0
org.eclipse.californium.elements.PrincipalEndpointContextMatcherTest.testWithConnectionEndpointContext,4,12,6,1,1,0,25,87,1,15,25,3,2,0.38,0.6
org.eclipse.californium.elements.PrincipalEndpointContextMatcherTest.testWithoutConnectionEndpointContext,4,7,5,1,1,0,18,68,1,6,20,2,1,0.23,0.67
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[0],2,28,12,1,1,0.21,85,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[1],2,28,12,1,1,0.21,85,258,0,27,31,1,3,0.47,0.25
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[2],2,28,12,1,1,0.21,85,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[3],2,28,12,1,1,0.21,85,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[4],2,28,12,1,1,0.21,85,258,0,42,30,9,2,0.58,0.82
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[5],2,28,12,1,1,0.21,85,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[6],2,28,12,1,1,0.21,85,258,0,41,30,8,2,0.58,0.8
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.onConnect[7],2,28,12,1,1,0.21,85,258,0,38,30,7,2,0.56,0.78
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[0],2,31,13,1,1,0.18,88,293,0,31,33,4,3,0.48,0.57
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[1],2,31,13,1,1,0.18,88,293,0,28,33,3,3,0.46,0.5
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[2],2,31,13,1,1,0.18,88,293,0,31,33,3,3,0.48,0.5
org.eclipse.californium.elements.tcp.netty.TcpConnectorTest.serverClientPingPong[3],2,31,13,1,1,0.18,88,293,0,41,32,8,2,0.56,0.8
