TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
com.google.inject.util.TypesTest.testWildcardTypes,0,11,3,2,2,0.03,37,77,1,0.00,0.00
com.google.inject.DuplicateBindingsTest.testHashcodeNeverCalledOnInstance,1,290,98,7,1,0.00,23,2076,0,0.00,0.00
com.google.inject.util.OverrideModuleTest.testOverridesDoesntFixTwiceBoundInOriginal,1,261,87,6,1,0.00,31,1762,0,0.00,0.00
com.google.inject.GenericInjectionTest.testInjectingParameterizedDependenciesForImplicitBinding,2,356,106,7,1,0.00,20,2511,0,0.00,0.00
com.google.inject.EagerSingletonTest.testJustInTimeEagerSingletons_multipleThreads,1,364,108,7,1,0.00,71,2541,0,0.00,0.00
com.google.inject.JitBindingsTest.testProvidedBy,1,352,107,7,1,0.00,65,2414,0,0.00,0.00
com.google.inject.spi.ModuleAnnotatedMethodScannerTest.withSource,1,327,94,8,1,0.00,22,2110,0,0.00,0.00
com.google.inject.grapher.TransitiveDependencyVisitorTest.testVisitConstructor,1,2,1,1,1,0.17,15,7,1,0.00,0.00
com.google.inject.testing.fieldbinder.BoundFieldModuleTest.testGetBoundFields_getField,0,18,3,1,1,0.04,10,126,1,0.00,0.00
com.google.inject.ParentInjectorTest.testParentJitBindingWontClobberChildBinding,1,293,93,6,1,0.00,41,1986,0,0.00,0.00
com.google.inject.RequireAtInjectOnConstructorsTest.testManyConstructorsButNoneWithAtInject,1,228,77,6,1,0.00,26,1582,0,0.00,0.00
com.google.inject.ParentInjectorTest.testTypeConvertersConflicting,1,362,107,7,1,0.00,42,2252,0,0.00,0.00
com.google.inject.ProvisionExceptionsTest.testProviderMethodCheckedException,1,450,124,7,1,0.01,34,3074,1,0.00,0.00
com.google.inject.spi.InjectionPointTest.testForConstructorOfRequireAtInject_fail,0,51,20,4,1,0.10,8,395,1,0.00,0.00
com.google.inject.matcher.MatcherTest.testSubclassesOf,0,5,2,1,1,0.20,13,9,0,0.00,0.00
com.google.inject.throwingproviders.ThrowingProviderTest.testExceptionsThrown_Bind,0,32,10,1,1,0.06,56,255,0,0.00,0.00
