TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.google.zxing.qrcode.encoder.EncoderTestCase.testMinimalEncoder10,0,36,11,3,3,0.05,6,316,0,72,99,0,14,0.42,0.00
com.google.zxing.qrcode.encoder.EncoderTestCase.testAppendAlphanumericBytes,1,7,2,2,2,0.53,17,49,0,37,10,3,0,0.79,1.00
com.google.zxing.qrcode.decoder.DataMaskTestCase.testMask6,1,4,3,2,2,0.64,17,21,0,20,2,0,0,0.91,0.00
com.google.zxing.aztec.encoder.EncoderTest.testUserSpecifiedLayers,0,53,11,3,2,0.01,10,462,1,128,267,1,21,0.32,0.05
com.google.zxing.negative.FalsePositives2BlackBoxTestCase.testBlackBox,4,285,70,19,1,0.00,153,3962,0,598,1841,1,88,0.25,0.01
com.google.zxing.client.j2se.MatrixToImageWriterTestCase.testColor,1,6,2,1,1,0.24,27,29,0,12,6,1,1,0.67,0.50
com.google.zxing.pdf417.PDF417BlackBox3TestCase.testBlackBox,4,384,78,17,1,0.00,215,4539,0,1130,1585,6,83,0.42,0.07
com.google.zxing.common.BitArrayTestCase.testGetNextSet4,1,4,1,1,1,0.93,12,19,0,12,3,0,0,0.80,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string30,4,94,27,7,1,0.02,51,871,0,336,207,1,10,0.62,0.09
com.google.zxing.qrcode.decoder.VersionTestCase.testBadVersion,0,1,1,1,1,0.00,1,3,0,0,3,0,0,0.00,0.00
com.google.zxing.aztec.decoder.DecoderTest.testRawBytes,0,3,1,1,1,0.29,20,14,1,18,1,0,0,0.95,0.00
com.google.zxing.qrcode.decoder.FormatInformationTestCase.testBitsDiffering,0,1,1,1,1,1.00,6,1,0,2,0,0,0,1.00,0.00
com.google.zxing.oned.Code39ExtendedModeTestCase.testDecodeExtendedMode,2,19,5,3,1,0.37,13,283,0,134,52,6,6,0.72,0.50
com.google.zxing.oned.rss.expanded.RSSExpandedImage2binaryTestCase.testDecodeRow2binary11,4,51,16,6,1,0.11,51,559,0,270,124,0,9,0.69,0.00
com.google.zxing.oned.rss.expanded.decoders.AI013X0X1XDecoderTest.test01320X111,1,17,6,2,2,0.24,32,128,0,54,10,0,0,0.84,0.00
com.google.zxing.oned.rss.expanded.RSSExpandedImage2stringTestCase.testDecodeRow2string5,4,66,23,7,1,0.02,51,669,0,306,130,0,10,0.70,0.00
com.google.zxing.oned.EAN8WriterTestCase.testAddChecksumAndEncode,1,14,5,2,2,0.05,10,107,0,70,15,6,1,0.82,0.86
com.google.zxing.client.result.AddressBookParsedResultTestCase.testAddressBookAU,1,25,8,2,1,0.12,19,176,0,33,27,2,4,0.55,0.33
