TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,MutationScore,disjointMutationScore
redis.clients.jedis.ProtocolTest.nullBulkReply,1,7,2,2,1,0.02,5,58,1,0.00,0.00
redis.clients.jedis.TransactionV2Test.multi,3,97,22,3,1,0.06,35,570,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.georadiusStoreBinary,1,77,25,6,1,0.04,31,365,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterBinaryValuesCommandsTest.testSadd,3,126,32,5,1,0.03,63,784,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scan,1,86,21,4,1,0.07,31,507,0,0.00,0.00
redis.clients.jedis.commands.jedis.SlowlogCommandsTest.slowlog,1,102,21,4,1,0.09,34,555,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.testLocalhostNodeNotAddedWhen127Present,4,104,23,5,1,0.05,73,646,1,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.pipeline,1,97,26,4,1,0.09,26,594,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zmpop,2,98,28,5,1,0.06,32,555,0,0.00,0.00
redis.clients.jedis.commands.jedis.MigrateTest.migrate,2,94,19,3,1,0.10,30,516,0,0.00,0.00
redis.clients.jedis.JedisTest.allowUrlWithNoDBAndNoPassword,2,71,16,3,1,0.07,15,453,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zremrangeByRank,0,73,21,5,1,0.03,45,323,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.psetex,0,64,20,5,1,0.03,29,279,1,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.mget,1,81,19,3,1,0.06,41,488,0,0.00,0.00
redis.clients.jedis.JedisClusterTest.testReturnConnectionOnJedisConnectionException,5,145,33,5,1,0.07,81,864,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zdiff,2,84,28,6,1,0.03,37,378,1,0.00,0.00
redis.clients.jedis.resps.TupleTest.compareSameScoreObject,1,5,3,2,2,0.04,9,30,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.decrBy,0,55,19,5,1,0.02,11,270,1,0.00,0.00
redis.clients.jedis.JedisTest.checkCloseableAfterConnect,2,61,15,3,1,0.07,12,422,1,0.00,0.00
redis.clients.jedis.commands.jedis.StringValuesCommandsTest.mset,1,78,18,3,1,0.06,13,476,0,0.00,0.00
redis.clients.jedis.ACLJedisPoolTest.checkResourceIsClosableAndReusable,1,106,21,3,1,0.04,13,599,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zcount,0,67,19,5,1,0.04,35,282,1,0.00,0.00
redis.clients.jedis.PipeliningTest.pipelineSelect,1,76,20,3,1,0.08,12,495,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortingCommandsTest.sortDesc,2,91,22,4,1,0.07,50,514,0,0.00,0.00
redis.clients.jedis.ACLJedisSentinelPoolTest.checkResourceIsCloseable,1,137,26,3,1,0.03,18,851,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.testCloseableWithConfig,2,131,31,5,1,0.04,69,785,1,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.touch,1,92,20,3,1,0.09,43,481,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.evalshaReadonly,1,85,20,3,1,0.07,26,497,0,0.00,0.00
redis.clients.jedis.commands.jedis.ScriptingCommandsTest.evalshaReadonlyBinary,1,85,20,3,1,0.08,26,488,0,0.00,0.00
redis.clients.jedis.commands.jedis.GeoCommandsTest.georadiusReadonly,2,101,26,5,1,0.09,36,584,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledGeoCommandsTest.geohash,1,73,22,5,1,0.03,37,335,1,0.00,0.00
redis.clients.jedis.commands.jedis.GeoCommandsTest.georadiusStoreBinary,2,95,24,4,1,0.07,31,548,0,0.00,0.00
redis.clients.jedis.ACLJedisTest.connectWithConfig,1,64,15,3,1,0.09,15,408,1,0.00,0.00
redis.clients.jedis.commands.jedis.GeoCommandsTest.geosearchstoreWithdist,2,90,24,4,1,0.07,21,544,0,0.00,0.00
redis.clients.jedis.ReliableTransactionTest.testCloseable,3,79,20,3,1,0.05,23,520,1,0.00,0.00
redis.clients.jedis.commands.jedis.ClusterScriptingCommandsTest.testBinaryScriptFlush,3,126,32,5,1,0.04,55,762,0,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setAndExat,1,88,22,4,1,0.07,26,501,0,0.00,0.00
redis.clients.jedis.commands.jedis.StreamsCommandsTest.xrevrange,1,89,24,3,1,0.06,32,533,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledSortedSetCommandsTest.zremrangeByLexBinary,0,65,20,5,1,0.02,35,306,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledListCommandsTest.lpushx,0,64,19,5,1,0.03,29,281,1,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledListCommandsTest.blpopDoubleWithSleep,0,67,21,6,1,0.02,43,331,1,0.00,0.00
redis.clients.jedis.commands.jedis.BinaryValuesCommandsTest.setIfNotExistAndGet,1,92,22,4,1,0.07,26,523,0,0.00,0.00
redis.clients.jedis.commands.jedis.TransactionCommandsTest.testResetStateWhenInWatch,1,103,22,3,1,0.09,29,625,1,0.00,0.00
redis.clients.jedis.JedisClusterTest.testCloseable,3,137,32,5,1,0.04,70,815,1,0.00,0.00
redis.clients.jedis.ShardedConnectionTest.checkFailedJedisServer,2,102,26,5,1,0.03,17,673,1,0.00,0.00
redis.clients.jedis.commands.jedis.HashesCommandsTest.hscanMatch,2,95,23,5,1,0.08,33,532,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zrangeByLex,1,83,20,3,1,0.06,35,499,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledAllKindOfValuesCommandsTest.type,0,61,19,5,1,0.03,27,262,1,0.00,0.00
redis.clients.jedis.commands.jedis.ControlCommandsTest.clientPauseWrite,1,85,20,3,1,0.07,32,488,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledBinaryValuesCommandsTest.mget,0,61,20,5,1,0.02,41,300,1,0.00,0.00
redis.clients.jedis.commands.jedis.SlowlogCommandsTest.slowlogBinaryDetails,1,84,17,3,1,0.10,33,489,0,0.00,0.00
redis.clients.jedis.commands.jedis.AllKindOfValuesCommandsTest.scanMatch,2,94,23,5,1,0.08,39,525,0,0.00,0.00
redis.clients.jedis.commands.jedis.HashesCommandsTest.testBinaryHstrLen,1,78,19,3,1,0.06,21,461,0,0.00,0.00
redis.clients.jedis.commands.jedis.SortedSetCommandsTest.zremrangeByLexBinary,1,83,19,3,1,0.06,35,489,0,0.00,0.00
redis.clients.jedis.PipeliningTest.testSyncWithNoCommandQueued,2,68,17,3,1,0.12,18,448,0,0.00,0.00
redis.clients.jedis.BuilderTest.buildDouble,0,3,3,2,1,0.00,10,9,0,0.00,0.00
redis.clients.jedis.commands.unified.pooled.PooledStringValuesCommandsTest.msetnx,0,62,20,5,1,0.02,15,296,1,0.00,0.00
