TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoCanaTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,2,21,6,3,1,0.62,21,394,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMS51Test.naoDevePermitirValorBCICMSComTamanhoDiferente,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoDestinatarioTest.naoDevePermitirCNPJComTamanhoInvalido,1,1,1,1,1,0.00,6,7,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMS60Test.naoDevePermitirOrigemNulo,1,6,3,3,1,0.63,7,346,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoIPITributadoTest.naoDevePermitirSetarValorBaseCalculoCasoQuantidadeOuValorUnidadeTributavelEstejaSetado,1,6,2,2,2,0.60,14,29,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSSN201Test.naoDevePermitirOrigemNulo,1,16,3,3,1,0.80,16,367,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoTest.deveObterTotalComoFoiSetado,5,48,6,2,2,0.93,58,104,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.NFAutorizador31Test.naoPodeInutilizarNotasNoSCANEmProducao,0,1,1,1,1,0.00,1,1,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.NFRegimeTributarioTest.deveRepresentarOCodigoCorretamente,0,1,1,1,1,1.00,5,1,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFOperadoraCartaoTest.deveRepresentarOCodigoCorretamente,0,1,1,1,1,1.00,7,1,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoTest.naoDevePermitirNcmNulo,6,66,11,3,1,0.58,71,199,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.cartacorrecao.NFEnviaEventoTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,4,43,14,5,1,0.43,29,446,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMS90Test.devePermitirPercentualMargemValorAdicionadoICMSSTNulo,1,28,13,5,1,0.65,18,379,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemImpostoICMSSN202Test.naoDevePermitirValorICMSSTNulo,1,17,9,5,1,0.59,11,361,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoDuplicataTest.naoDevePermitirValorDuplicataNulo,1,6,4,4,1,0.61,6,345,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.evento.manifestacaodestinatario.NFEnviaEventoManifestacaoDestinatarioTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,4,42,15,5,1,0.42,29,445,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoItemProdutoTest.devePermitirDeclaracoesImportacaoNulo,4,69,14,7,1,0.51,45,532,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoItemImpostoICMSSN201Test.naoDevePermitirValorZeradoParaPercentualFundoCombatePobreza,0,1,1,1,1,0.00,1,6,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.cadastro.NFInfoConsultaCadastroTest.devePermitirCnpjNulo,1,6,3,3,1,0.77,8,349,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.validadores.DFStringValidadorTest.deveValidarTamanhoDeStringCasoEstejaDentroDoIntervalo,0,2,1,1,1,0.50,4,6,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoCadaDeducaoTest.naoDevePermitirDescricaoDeducaoNulo,1,4,3,3,1,0.53,5,342,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.NFAutorizador400Test.deveObterAsFederacoesQueSVANEhResponsavel,0,1,1,1,1,0.00,3,1,0,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.parsers.NotaFiscalChaveParserTest.deveObterCNPJEmitenteDaChave,1,1,1,1,1,1.00,3,6,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoExportacaoTest.deveGerarXMLDeAcordoComOPadraoEstabelecido,1,7,4,3,1,0.67,8,348,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.evento.cancelamento.NFEventoCancelamentoTest.naoDevePermitirVersaoNulo,4,34,9,5,1,0.50,27,432,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.NFNotaInfoItemProdutoVeiculoCondicaoTest.deveObterVeiculoCondicaoApartirDoSeuCodigo,0,2,1,1,1,0.80,6,5,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe400.classes.nota.NFNotaInfoReboqueTest.deveGerarXMLDeAcordoComOPadraoEstabelecidoComVagao,1,5,4,3,1,0.65,7,344,1,0,0,0,0,0.00,0.00
com.fincatto.documentofiscal.nfe310.classes.nota.NFNotaInfoRetencoesTributosTest.naoDevePermitirCalculoIRRFInvalidosMonetarios,0,1,1,1,1,0.00,1,8,0,0,0,0,0,0.00,0.00
