TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.requestInterface[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=false; useObjectKey=false; withExpiryListener=false],0,94,14,3,1,0.00,69,368,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.getAll_not_present_no_loader[strict=false; recordRefresh=true; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=true; expiry=false; useObjectKey=false; withExpiryListener=false],0,0,0,0,0,0.00,0,0,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.peekAndReplace_NullKey[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,104,20,4,1,0.00,69,448,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.iterator_Next_Exception[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=true; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,223,34,4,1,0.00,125,1025,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.iterator_Next_Exception[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,205,27,5,1,0.00,91,959,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.containsAndRemove_Null[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=true; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,108,18,4,1,0.00,75,434,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.putTwice[strict=false; recordRefresh=false; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=false; useObjectKey=false; withExpiryListener=false],0,222,26,4,1,0.00,87,1179,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.replace_NoMap[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=true; keepExceptions=true; expiry=true; useObjectKey=false; withExpiryListener=false],0,182,23,4,1,0.00,75,828,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.putAll[strict=false; recordRefresh=true; disableStats=true; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,109,19,3,1,0.00,72,451,0,0,0,0,0,0.00,0.00
org.cache2k.test.core.BasicCacheOperationsWithoutCustomizationsTest.computeIfAbsent_Null[strict=false; recordRefresh=false; disableStats=false; entryProcessor=false; wired=false; forwarding=false; keepData=false; keepExceptions=false; expiry=true; useObjectKey=false; withExpiryListener=false],0,213,27,5,1,0.00,80,939,0,0,0,0,0,0.00,0.00
