TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.GraphTest.testReference,0,41,8,1,1,0.07,301,336,0,71,56,0,9,0.56,0,0,0
io.protostuff.IntTest.testProtobuf,0,69,5,1,1,0.04,131,442,0,173,126,1,18,0.58,0.05,0,0
io.protostuff.IntTest.testProtostuff,0,60,6,1,1,0.06,132,339,0,114,76,1,8,0.6,0.11,0,0
io.protostuff.LinkBufferTest.testBasics,1,9,1,1,1,0.32,21,50,1,9,11,3,2,0.45,0.6,0,0
io.protostuff.LinkBufferTest.testGetBuffers,1,4,1,1,1,0.65,13,26,1,6,3,1,1,0.67,0.5,1,0
io.protostuff.LinkBufferTest.testGetBuffersAndAppendData,1,4,1,1,1,0.65,11,26,1,6,3,1,1,0.67,0.5,1,0
io.protostuff.LinkBufferTest.testWriteLargeVar32,1,3,1,1,1,0.86,6,28,1,8,6,3,0,0.57,1,0,1
io.protostuff.ListAdapterTest.checkConvertedValues,1,2,1,1,1,1,11,6,1,2,0,2,0,1,1,1,1
io.protostuff.LowCopyProtobufOutputTest.testCompareVsOther,2,57,5,1,1,0.04,173,454,1,121,103,5,12,0.54,0.29,0,0
io.protostuff.LowCopyProtostuffOutputTest.testCompareVsOther,2,48,5,1,1,0.07,173,278,1,56,47,6,4,0.54,0.6,0,0
io.protostuff.NumberParserTest.testParseInt,1,9,4,1,1,0.45,21,98,1,53,21,5,4,0.72,0.56,1,0
io.protostuff.NumberParserTest.testParseLong,1,9,4,1,1,0.4,21,108,1,54,27,8,4,0.67,0.67,1,0
io.protostuff.ProtobufBufferedOutputTest.testBar,0,41,4,1,1,0.02,139,374,0,140,106,1,18,0.57,0.05,0,0
io.protostuff.ProtobufBufferedOutputTest.testBarDelimited,0,43,4,1,1,0.03,144,396,0,136,98,3,14,0.58,0.18,0,0
io.protostuff.ProtobufBufferedOutputTest.testBarSkipMessage,0,43,4,1,1,0.02,143,393,0,141,109,1,18,0.56,0.05,0,0
io.protostuff.ProtobufBufferedOutputTest.testBaz,0,20,4,1,1,0.05,50,199,0,66,66,1,13,0.5,0.07,0,0
io.protostuff.ProtobufBufferedOutputTest.testBazDelimited,0,22,4,1,1,0.05,55,221,0,61,57,3,9,0.52,0.25,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyBar,0,5,3,1,1,0.24,54,52,0,2,7,0,1,0.22,0,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyBarDelimited,0,4,3,1,1,0.25,78,38,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyBarInner,0,9,4,1,1,0.09,80,123,0,15,26,1,2,0.37,0.33,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyBazDelimited,0,4,3,1,1,0.25,45,38,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtobufBufferedOutputTest.testEmptyFoo,0,5,3,1,1,0.24,81,52,0,2,7,0,1,0.22,0,0,0
