TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBarInnerWithEmptyString,0,12,4,1,1,0.1,83,113,0,14,22,1,3,0.39,0.25,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBarInnerWithString,0,12,4,1,1,0.1,83,113,0,13,23,0,4,0.36,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBarWithEmptyString,0,12,4,1,1,0.08,83,113,0,13,23,1,3,0.36,0.25,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyBarWithString,0,12,4,1,1,0.1,83,113,0,12,24,0,4,0.33,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFoo,0,13,4,1,1,0.09,138,119,0,8,26,0,4,0.24,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFooInner,0,5,3,1,1,0.24,94,52,0,2,7,0,0,0.22,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFooInnerWithEmptyString,0,5,3,1,1,0.24,97,52,0,2,7,0,0,0.22,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFooInnerWithString,0,5,3,1,1,0.24,97,52,0,2,7,0,0,0.22,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFooWithEmptyString,0,9,4,1,1,0.11,99,85,0,10,18,1,1,0.36,0.5,0,0
io.protostuff.ProtostuffBufferedOutputTest.testPartialEmptyFooWithString,0,9,4,1,1,0.11,99,85,0,9,19,0,2,0.32,0,0,0
io.protostuff.ProtostuffBufferedOutputTest.testShareFieldNumberAndTypeAndSkipMessage,0,26,4,1,1,0.05,148,200,0,48,42,5,5,0.53,0.5,0,0
io.protostuff.ProtostuffDelimiterTest.testBar,0,37,5,1,1,0.03,155,311,0,82,47,4,7,0.64,0.36,0,0
io.protostuff.ProtostuffDelimiterTest.testBarTooLarge2,0,10,4,1,1,0.07,54,127,0,42,27,7,1,0.61,0.88,0,1
io.protostuff.ProtostuffDelimiterTest.testBarTooLarge3,0,10,4,1,1,0.23,54,127,0,43,29,8,1,0.6,0.89,0,1
io.protostuff.ProtostuffDelimiterTest.testBaz,0,20,5,1,1,0.14,66,221,0,48,37,2,6,0.56,0.25,0,0
io.protostuff.ProtostuffDelimiterTest.testFoo,0,37,5,1,1,0.03,289,311,0,104,55,4,8,0.65,0.33,0,0
io.protostuff.ProtostuffDelimiterTest.testFooEmpty,0,8,3,1,1,0.08,115,120,0,20,15,2,1,0.57,0.67,0,0
io.protostuff.ProtostuffDelimiterTest.testFooTooLarge,0,18,4,1,1,0.05,115,166,0,44,25,3,1,0.64,0.75,0,0
io.protostuff.ProtostuffPipeTest.testBar,0,92,11,1,1,0.02,188,644,0,208,141,4,19,0.6,0.17,0,0
io.protostuff.ProtostuffPipeTest.testBaz,0,51,11,1,1,0.04,76,399,0,105,88,2,11,0.54,0.15,0,0
io.protostuff.ProtostuffPipeTest.testFoo,0,88,11,1,1,0.02,344,640,0,235,162,3,23,0.59,0.12,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testBar,0,34,3,1,1,0.06,146,239,0,60,61,2,6,0.5,0.25,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyBar,0,10,2,1,1,0.13,102,118,0,14,35,0,7,0.29,0,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyBar2,0,10,2,1,1,0.13,101,118,0,13,36,0,7,0.27,0,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyBarInner,0,13,3,1,1,0.21,144,143,0,26,34,2,5,0.43,0.29,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyFoo,0,10,2,1,1,0.13,144,118,0,14,35,0,7,0.29,0,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyFoo2,0,10,2,1,1,0.26,143,118,0,13,36,0,7,0.27,0,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyFooInner,0,13,3,1,1,0.21,233,143,0,26,34,2,5,0.43,0.29,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testEmptyFooInner2,0,13,3,1,1,0.21,276,143,0,28,32,2,5,0.47,0.29,0,0
io.protostuff.ProtostuffRepeatedMessagesTest.testFoo,0,34,3,1,1,0.06,279,239,0,64,57,3,5,0.53,0.38,0,0
io.protostuff.ProtostuffStreamedOutputTest.testBar,0,32,4,1,1,0.03,144,210,0,70,42,2,5,0.62,0.29,0,0
io.protostuff.ProtostuffStreamedOutputTest.testBarDelimited,0,34,5,1,1,0.04,144,232,0,68,41,5,5,0.62,0.5,0,0
io.protostuff.ProtostuffStreamedOutputTest.testBarSkipMessage,0,36,4,1,1,0.03,148,241,0,78,49,7,4,0.61,0.64,0,0
io.protostuff.ProtostuffStreamedOutputTest.testBaz,0,15,4,1,1,0.07,55,120,0,36,32,0,4,0.53,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testBazDelimited,0,17,5,1,1,0.06,55,142,0,34,31,3,4,0.52,0.43,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyBar,0,5,3,1,1,0.2,59,50,0,1,8,0,0,0.11,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyBarDelimited,0,4,3,1,1,0.21,78,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyBarInner,0,10,4,1,1,0.09,85,99,0,10,19,0,3,0.34,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyBazDelimited,0,4,3,1,1,0.21,45,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyFoo,0,5,3,1,1,0.2,86,50,0,1,8,0,0,0.11,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyFooDelimited,0,4,3,1,1,0.24,102,36,0,4,9,1,1,0.31,0.5,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyFooInner,0,10,4,1,1,0.09,138,99,0,8,21,0,3,0.28,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyInnerBarDelimited,0,12,5,1,1,0.07,142,121,0,25,20,5,2,0.56,0.71,0,0
io.protostuff.ProtostuffStreamedOutputTest.testEmptyInnerFooDelimited,0,12,5,1,1,0.07,231,121,0,25,20,5,2,0.56,0.71,0,0
io.protostuff.ProtostuffStreamedOutputTest.testFoo,0,32,4,1,1,0.04,277,210,0,73,38,2,5,0.66,0.29,1,0
io.protostuff.ProtostuffStreamedOutputTest.testFooDelimited,0,35,6,1,1,0.03,277,248,0,87,51,5,7,0.63,0.42,0,0
io.protostuff.ProtostuffStreamedOutputTest.testFooSkipMessage,0,36,4,1,1,0.03,281,241,0,81,45,7,4,0.64,0.64,0,0
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializable,0,43,9,1,1,0.13,200,309,0,76,55,1,7,0.58,0.12,0,0
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableEmptyBar,0,4,3,1,1,0.79,75,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableEmptyBarInner,0,18,6,1,1,0.19,139,179,0,30,32,1,5,0.48,0.17,0,0
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableEmptyFoo,0,4,3,1,1,0.79,99,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableEmptyFoo2,0,4,3,1,1,0.79,104,47,0,5,9,1,0,0.36,1,0,1
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableEmptyFooInner,0,4,3,1,1,0.79,109,47,0,6,9,1,0,0.4,1,0,1
io.protostuff.ProtostuffStreamedOutputTest.testJavaSerializableGraphIOUtil,0,13,7,1,1,0.27,41,136,0,31,29,4,3,0.52,0.57,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBar,0,13,4,1,1,0.07,88,117,0,9,25,0,4,0.26,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBarInner,0,13,4,1,1,0.07,88,117,0,11,23,0,4,0.32,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBarInnerWithEmptyString,0,12,4,1,1,0.08,88,111,0,13,23,1,3,0.36,0.25,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBarInnerWithString,0,12,4,1,1,0.08,88,111,0,12,24,0,4,0.33,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBarWithEmptyString,0,12,4,1,1,0.06,88,111,0,12,24,1,3,0.33,0.25,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyBarWithString,0,12,4,1,1,0.08,88,111,0,11,25,0,4,0.31,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFoo,0,13,4,1,1,0.07,143,117,0,7,27,0,4,0.21,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFooInner,0,5,3,1,1,0.2,99,50,0,1,8,0,0,0.11,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFooInnerWithEmptyString,0,5,3,1,1,0.2,102,50,0,1,8,0,0,0.11,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFooInnerWithString,0,5,3,1,1,0.2,102,50,0,1,8,0,0,0.11,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFooWithEmptyString,0,9,4,1,1,0.08,104,83,0,9,19,1,1,0.32,0.5,0,0
io.protostuff.ProtostuffStreamedOutputTest.testPartialEmptyFooWithString,0,9,4,1,1,0.08,104,83,0,8,20,0,2,0.29,0,0,0
io.protostuff.ProtostuffStreamedOutputTest.testShareFieldNumberAndTypeAndSkipMessage,0,26,4,1,1,0.04,153,198,0,47,43,5,5,0.52,0.5,0,0
io.protostuff.RepeatedTest.testPackedRepeatedByteArray,2,15,2,1,1,0.08,46,162,0,59,49,6,1,0.55,0.86,0,1
io.protostuff.RepeatedTest.testPackedRepeatedByteBuffer,2,15,2,1,1,0.08,52,151,0,48,49,7,2,0.49,0.78,0,0
io.protostuff.RepeatedTest.testPackedRepeatedCodedInput,2,19,2,1,1,0.07,46,186,0,60,55,5,1,0.52,0.83,0,1
io.protostuff.StreamedStringSerializerTest.testAscii,2,3,3,1,1,0.87,19,50,1,20,10,6,0,0.67,1,1,1
io.protostuff.StreamedStringSerializerTest.testDouble,2,4,3,1,1,0.32,21,50,1,8,11,0,2,0.42,0,0,0
io.protostuff.StreamedStringSerializerTest.testFloat,2,4,3,1,1,0.32,21,50,1,8,11,0,2,0.42,0,0,0
io.protostuff.StreamedStringSerializerTest.testInt,2,5,4,1,1,0.51,21,66,1,33,15,5,0,0.69,1,1,1
io.protostuff.StreamedStringSerializerTest.testLong,2,5,4,1,1,0.42,21,76,1,39,17,5,0,0.7,1,1,1
io.protostuff.StreamedStringSerializerTest.testMultipleLargeStringsExceedingBufferSize,2,12,7,1,1,0.1,35,254,1,58,40,7,2,0.59,0.78,0,0
io.protostuff.StreamedStringSerializerTest.testMultipleLargeStringsExceedingBufferSizeDelimited,2,15,7,1,1,0.09,77,343,1,63,49,5,5,0.56,0.5,0,0
io.protostuff.StreamedStringSerializerTest.testPartialSurrogatePair,2,2,2,1,1,1,7,65,1,6,23,1,5,0.21,0.17,0,0
io.protostuff.StreamedStringSerializerTest.testSurrogatePairs,2,12,6,1,1,0.44,35,132,1,47,24,1,4,0.66,0.2,0,0
io.protostuff.StreamedStringSerializerTest.testUTF8,2,5,4,1,1,0.78,35,77,1,29,29,2,4,0.5,0.33,0,0
io.protostuff.StreamedStringSerializerTest.testUTF8FixedDelimited,2,9,4,1,1,0.03,38,254,1,47,53,4,4,0.47,0.5,0,0
io.protostuff.StreamedStringSerializerTest.testUTF8VarDelimited,2,9,4,1,1,0.08,64,296,1,64,79,7,7,0.45,0.5,0,0
io.protostuff.StreamedStringSerializerTest.testVarDelimitedBoundryThreeByte,2,7,3,1,1,0.21,19,279,1,17,47,0,8,0.27,0,0,0
io.protostuff.StreamedStringSerializerTest.testVarDelimitedBoundryTwoByte,2,7,3,1,1,0.21,18,279,1,16,46,0,8,0.26,0,0,0
io.protostuff.StringMapSchemaProtobufTest.testEmptyMap,0,2,1,1,1,0,12,14,0,0,0,0,0,0,0,0,0
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntries,0,10,5,1,1,0,17,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntriesContainNullValue,0,10,5,1,1,0,18,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntriesContainNullValues,0,10,5,1,1,0,19,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntriesContainsEmptyKey,0,10,5,1,1,0,18,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntriesContainsEmptyKeyAndNullValues,0,10,5,1,1,0,22,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtobufTest.testMultipleEntriesContainsEmptyValue,0,10,5,1,1,0,18,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testSingleEntry,0,10,5,1,1,0,13,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testSingleEntryEmptyKey,0,10,5,1,1,0,13,57,0,10,6,4,1,0.62,0.8,0,0
io.protostuff.StringMapSchemaProtobufTest.testSingleEntryEmptyString,0,10,5,1,1,0,13,57,0,10,6,4,1,0.62,0.8,0,0
io.protostuff.StringMapSchemaProtobufTest.testSingleEntryEmptyValue,0,10,5,1,1,0,13,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testSingleEntryNullValue,0,7,3,1,1,0,13,49,0,8,4,1,1,0.67,0.5,1,0
io.protostuff.StringMapSchemaProtobufTest.testTwoEntries,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testTwoEntriesContainsEmptyKey,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testTwoEntriesContainsEmptyValue,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtobufTest.testTwoEntriesContainsNullValue,0,10,5,1,1,0,14,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtostuffTest.testEmptyMap,0,2,1,1,1,0,12,14,0,0,0,0,0,0,0,0,0
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntries,0,10,5,1,1,0,17,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntriesContainNullValue,0,10,5,1,1,0,18,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntriesContainNullValues,0,10,5,1,1,0,19,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntriesContainsEmptyKey,0,10,5,1,1,0,18,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntriesContainsEmptyKeyAndNullValues,0,10,5,1,1,0,22,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringMapSchemaProtostuffTest.testMultipleEntriesContainsEmptyValue,0,10,5,1,1,0,18,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testSingleEntry,0,10,5,1,1,0,13,57,0,11,5,4,1,0.69,0.8,1,1
io.protostuff.StringMapSchemaProtostuffTest.testSingleEntryEmptyKey,0,10,5,1,1,0,13,57,0,10,6,4,1,0.62,0.8,0,0
io.protostuff.StringMapSchemaProtostuffTest.testSingleEntryEmptyString,0,10,5,1,1,0,13,57,0,10,6,4,1,0.62,0.8,0,0
io.protostuff.StringMapSchemaProtostuffTest.testSingleEntryEmptyValue,0,10,5,1,1,0,13,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testSingleEntryNullValue,0,7,3,1,1,0,13,49,0,8,4,1,1,0.67,0.5,1,0
io.protostuff.StringMapSchemaProtostuffTest.testTwoEntries,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testTwoEntriesContainsEmptyKey,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testTwoEntriesContainsEmptyValue,0,10,5,1,1,0,14,57,0,11,5,4,1,0.69,0.8,1,0
io.protostuff.StringMapSchemaProtostuffTest.testTwoEntriesContainsNullValue,0,10,5,1,1,0,14,57,0,12,4,5,0,0.75,1,1,1
io.protostuff.StringSerializerTest.testAscii,2,2,2,1,1,1,17,48,1,17,5,7,0,0.77,1,1,1
io.protostuff.StringSerializerTest.testDataInputStreamDecoding,2,5,2,1,1,0.11,11,97,1,15,34,0,4,0.31,0,0,0
io.protostuff.StringSerializerTest.testDouble,2,4,3,1,1,0.39,15,52,1,18,6,7,0,0.75,1,1,1
io.protostuff.StringSerializerTest.testFloat,2,4,3,1,1,0.39,15,52,1,18,6,7,0,0.75,1,1,1
io.protostuff.StringSerializerTest.testInt,2,5,3,1,1,0.53,15,72,1,40,8,4,1,0.83,0.8,1,1
io.protostuff.StringSerializerTest.testLegacySurrogatePairs,2,5,3,1,1,0.24,7,77,1,19,23,0,3,0.45,0,0,0
io.protostuff.StringSerializerTest.testLong,2,5,3,1,1,0.44,15,82,1,46,10,4,1,0.82,0.8,1,1
io.protostuff.StringSerializerTest.testPartialSurrogatePair,2,4,2,1,1,0.07,10,212,1,18,44,5,3,0.29,0.62,0,0
io.protostuff.StringSerializerTest.testReallyLongString,2,5,3,1,1,0.08,10,227,1,19,14,3,1,0.58,0.75,0,0
io.protostuff.StringSerializerTest.testSurrogatePairsCustomOnly,2,8,3,1,1,0.07,20,265,1,60,44,6,5,0.58,0.55,0,0
io.protostuff.StringSerializerTest.testUTF8,2,4,2,1,1,0.07,31,212,1,37,30,0,5,0.55,0,0,0
io.protostuff.StringSerializerTest.testUTF8FixedDelimited,2,6,2,1,1,0.04,34,242,1,47,36,4,4,0.57,0.5,0,0
io.protostuff.StringSerializerTest.testUTF8VarDelimited,2,6,2,1,1,0.09,62,286,1,59,60,7,7,0.5,0.5,0,0
io.protostuff.StringSerializerTest.testVarDelimitedBoundryThreeByte,1,6,2,1,1,0.1,18,268,1,22,57,4,6,0.28,0.4,0,0
io.protostuff.StringSerializerTest.testVarDelimitedBoundryTwoByte,1,6,2,1,1,0.1,17,268,1,22,55,4,6,0.29,0.4,0,0
io.protostuff.TailDelimiterTest.testBar,0,34,3,1,1,0.12,144,239,0,60,61,2,6,0.5,0.25,0,0
io.protostuff.TailDelimiterTest.testEmptyBar,0,10,2,1,1,0.26,100,118,0,14,35,0,7,0.29,0,0,0
io.protostuff.TailDelimiterTest.testEmptyBar2,0,10,2,1,1,0.26,99,118,0,13,36,0,7,0.27,0,0,0
io.protostuff.TailDelimiterTest.testEmptyBarInner,0,13,3,1,1,0.21,142,143,0,26,34,2,5,0.43,0.29,0,0
io.protostuff.TailDelimiterTest.testEmptyFoo,0,10,2,1,1,0.26,142,118,0,14,35,0,7,0.29,0,0,0
io.protostuff.TailDelimiterTest.testEmptyFoo2,0,10,2,1,1,0.26,141,118,0,13,36,0,7,0.27,0,0,0
io.protostuff.TailDelimiterTest.testEmptyFooInner,0,13,3,1,1,0.21,231,143,0,26,34,2,5,0.43,0.29,0,0
io.protostuff.TailDelimiterTest.testEmptyFooInner2,0,13,3,1,1,0.21,274,143,0,28,32,2,5,0.47,0.29,0,0
io.protostuff.TailDelimiterTest.testEmptyList,0,2,1,1,1,1,15,27,0,2,1,2,0,0.67,1,1,1
io.protostuff.TailDelimiterTest.testFoo,0,34,3,1,1,0.12,277,239,0,64,57,3,5,0.53,0.38,0,0
io.protostuff.UniqueMapEntryTest.testIt,0,15,15,1,1,0,18,46,0,14,0,6,0,1,1,1,1
io.protostuff.UnsignedNumberUtilTest.testParseUnsignedInt,0,8,1,1,1,0.03,3,35,1,2,7,2,0,0.22,1,0,1
io.protostuff.UnsignedNumberUtilTest.testParseUnsignedLong,0,3,1,1,1,0.05,3,22,1,11,17,4,0,0.39,1,0,1
io.protostuff.UnsignedNumberUtilTest.testUnsignedIntToString,0,2,1,1,1,0.33,3,3,1,3,5,3,0,0.38,1,0,1
io.protostuff.UnsignedNumberUtilTest.testUnsignedLongToString,0,6,1,1,1,0.04,3,28,1,12,8,6,0,0.6,1,0,1
