TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore,TOP,dTOP
com.helger.collection.iterate.SingleElementEnumerationTest.testAll,1,5,1,1,1,0.38,14,17,1,11,0,6,0,1,1,1,1
com.helger.collection.iterate.SingleElementIteratorTest.testAll,1,5,1,1,1,0.38,18,17,1,11,0,5,0,1,1,1,1
com.helger.collection.iterate.SingleElementListIteratorTest.testAll,1,12,1,1,1,0.65,37,27,1,19,0,6,0,1,1,1,1
com.helger.collection.map.IntDoubleMapTest.testPut,1,12,2,1,1,0.28,14,96,1,37,26,3,1,0.59,0.75,0,0
com.helger.collection.map.IntDoubleMapTest.testPutNegative,1,12,2,1,1,0.28,13,96,1,34,29,3,1,0.54,0.75,0,0
com.helger.collection.map.IntDoubleMapTest.testPutRandom,1,12,2,1,1,0.28,22,96,1,30,28,0,3,0.52,0,0,0
com.helger.collection.map.IntDoubleMapTest.testRemove,1,14,2,1,1,0.34,19,129,1,41,27,6,2,0.6,0.75,0,0
com.helger.collection.map.IntFloatMapTest.testPut,1,12,2,1,1,0.28,14,96,1,37,26,3,1,0.59,0.75,0,0
com.helger.collection.map.IntFloatMapTest.testPutNegative,1,12,2,1,1,0.28,13,96,1,34,29,3,1,0.54,0.75,0,0
com.helger.collection.map.IntFloatMapTest.testPutRandom,1,12,2,1,1,0.28,22,96,1,30,28,0,3,0.52,0,0,0
com.helger.collection.map.IntFloatMapTest.testRemove,1,14,2,1,1,0.34,19,129,1,41,27,5,2,0.6,0.71,0,0
com.helger.collection.map.IntIntMapTest.testPut,1,12,2,1,1,0.28,14,96,1,32,31,3,1,0.51,0.75,0,0
com.helger.collection.map.IntIntMapTest.testPutNegative,1,12,2,1,1,0.28,13,96,1,32,31,3,1,0.51,0.75,0,0
com.helger.collection.map.IntIntMapTest.testPutRandom,1,12,2,1,1,0.28,22,96,1,28,30,0,3,0.48,0,0,0
com.helger.collection.map.IntIntMapTest.testRemove,1,14,2,1,1,0.34,19,129,1,36,32,4,3,0.53,0.57,0,0
com.helger.collection.map.IntObjectMapTest.testForEach,1,10,2,1,1,0.43,21,88,1,23,28,6,1,0.45,0.86,0,0
com.helger.collection.map.IntObjectMapTest.testPut,1,14,2,1,1,0.28,15,99,1,36,29,3,1,0.55,0.75,0,0
com.helger.collection.map.IntObjectMapTest.testPutNegative,1,13,2,1,1,0.28,14,98,1,35,30,3,1,0.54,0.75,0,0
com.helger.collection.map.IntObjectMapTest.testPutRandom,1,13,2,1,1,0.28,23,98,1,29,31,0,3,0.48,0,0,0
com.helger.collection.map.IntObjectMapTest.testRemove,1,15,2,1,1,0.34,20,131,1,41,29,7,2,0.59,0.78,0,0
com.helger.collection.multimap.MultiConcurrentHashMapArrayListBasedTest.testAll,4,8,4,1,1,0.79,69,39,1,11,2,1,0,0.85,1,1,1
com.helger.collection.multimap.MultiConcurrentHashMapHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiConcurrentHashMapLinkedHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiConcurrentHashMapTreeSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiConcurrentHashMapVectorBasedTest.testAll,4,8,4,1,1,0.79,69,39,1,11,2,1,0,0.85,1,1,1
com.helger.collection.multimap.MultiHashMapArrayListBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.multimap.MultiHashMapHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiHashMapLinkedHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiHashMapTreeSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiHashMapVectorBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.multimap.MultiLinkedHashMapArrayListBasedTest.testAll,4,8,4,1,1,0.79,69,33,1,9,2,1,0,0.82,1,1,1
com.helger.collection.multimap.MultiLinkedHashMapHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiLinkedHashMapLinkedHashSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
com.helger.collection.multimap.MultiLinkedHashMapTreeSetBasedTest.testAll,4,7,3,1,1,0.75,51,37,1,10,1,1,0,0.91,1,1,1
