TestCase,rTDATA,IMC,ICC,IPC,DPHC,rDirectness,tLOC,aLOC,UT,NKM,NSM,dNKM,dNSM,MutationScore,dMutationScore
org.junit.rules.ExpectedExceptionTest.runTestAndVerifyResult[class org.junit.rules.ExpectedExceptionTest$ThrowExceptionWithExpectedPartOfMessage],2,238,70,15,1,0.01,52,905,1,0,0,0,0,0.00,0.00
org.junit.internal.runners.statements.FailOnTimeoutTest.throwsTestTimedOutExceptionWithMeaningfulMessage[lookingForStuckThread = false],1,69,25,8,1,0.05,41,341,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThrowsIncludesTheSpecifiedMessage,0,57,20,7,1,0.11,29,234,0,0,0,0,0,0.00,0.00
org.junit.tests.experimental.AssumptionTest.assumeNoExceptionThrows,0,51,21,7,1,0.00,8,212,0,0,0,0,0,0.00,0.00
org.junit.rules.StopwatchTest.failed,4,221,72,13,1,0.03,65,902,1,0,0,0,0,0.00,0.00
org.junit.tests.experimental.max.DescriptionTest.parseClassNameAndMethodUniqueId,0,53,20,7,1,0.02,6,211,1,0,0,0,0,0.00,0.00
org.junit.rules.ExpectedExceptionTest.runTestAndVerifyResult[class org.junit.rules.ExpectedExceptionTest$UseCustomMessageWithoutPlaceHolder],2,243,71,15,1,0.01,59,923,1,0,0,0,0,0.00,0.00
junit.tests.framework.TestCaseTest.testExceptionRunningAndTearDown,2,42,13,4,3,0.03,35,181,1,0,0,0,0,0.00,0.00
junit.tests.runner.TextFeedbackTest.testTwoTests,4,63,15,5,4,0.02,46,255,0,0,0,0,0,0.00,0.00
junit.tests.extensions.RepeatedTestTest.testRepeatedZero,2,44,15,5,4,0.02,27,188,1,0,0,0,0,0.00,0.00
org.junit.runners.RuleContainerTest.ordering1,1,61,21,7,1,0.06,28,239,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.floatsNotEqual,0,55,19,7,1,0.00,19,240,0,0,0,0,0,0.00,0.00
junit.samples.money.MoneyTest.testSimpleNegate,0,36,12,4,3,0.01,71,154,0,0,0,0,0,0.00,0.00
junit.samples.money.MoneyTest.testBagSimpleAdd,0,36,12,4,3,0.01,103,154,0,0,0,0,0,0.00,0.00
org.junit.rules.TestWatcherTest$Callbacks.resultHasAllFailuresThrownByCallbacks[class org.junit.rules.TestWatcherTest$Callbacks$SuccessfulTest],0,248,79,15,1,0.00,36,1021,0,0,0,0,0,0.00,0.00
org.junit.runner.JUnitCommandLineParseResultTest.shouldParseFilterArgInWhichValueIsASeparateArg,1,63,26,8,1,0.09,9,269,1,0,0,0,0,0.00,0.00
org.junit.rules.ErrorCollectorTest.runTestClassAndVerifyEvents[class org.junit.rules.ErrorCollectorTest$AddTwoErrors],3,231,69,13,1,0.02,49,938,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.errorMessageDistinguishesDifferentValuesWithSameToString,0,57,20,7,1,0.01,25,225,0,0,0,0,0,0.00,0.00
junit.tests.framework.AssertTest.testAssertStringEquals,0,37,12,4,3,0.01,23,155,1,0,0,0,0,0.00,0.00
org.junit.runner.notification.SynchronizedRunListenerTest.overridesAllMethodsInRunListener,0,52,20,7,1,0.01,21,202,1,0,0,0,0,0.00,0.00
org.junit.tests.description.TestDescriptionMethodNameTest.methodNameTest[8],0,62,21,8,1,0.03,25,240,0,0,0,0,0,0.00,0.00
junit.tests.framework.TestListenerTest.testFailure,2,43,12,4,3,0.04,40,188,0,0,0,0,0,0.00,0.00
org.junit.samples.money.MoneyTest.testMoneyEquals,0,69,26,9,2,0.03,81,259,0,0,0,0,0,0.00,0.00
junit.tests.framework.SuiteTest.testShadowedTests,3,56,16,5,3,0.04,30,259,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.RunWithTest.run,1,135,42,9,1,0.01,14,552,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.oneDimensionalDoubleArraysAreNotEqual,0,59,22,8,1,0.00,19,295,0,0,0,0,0,0.00,0.00
org.junit.rules.TestRuleTest.testRuleOrderingWithMethodRule,1,223,64,11,1,0.01,51,846,0,0,0,0,0,0.00,0.00
org.junit.runners.model.FrameworkMethodTest.cannotBeCreatedWithoutUnderlyingField,1,73,26,9,1,0.02,28,283,1,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.ParameterizedTestTest.testsAreExecutedWhenAssumptionInParametersMethodDoesNotFail,0,226,62,12,1,0.02,14,936,0,0,0,0,0,0.00,0.00
org.junit.rules.ErrorCollectorTest.runTestClassAndVerifyEvents[class org.junit.rules.ErrorCollectorTest$CheckTwoCallablesThatThrowExceptions],3,232,69,13,1,0.02,56,947,1,0,0,0,0,0.00,0.00
junit.tests.runner.BaseTestRunnerTest.testInvokeNonStaticSuite,1,36,13,5,3,0.23,31,185,1,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.objectsWithDifferentReferencesAreNotEqual,0,54,20,7,1,0.01,24,206,0,0,0,0,0,0.00,0.00
org.junit.rules.TestWatcherTest$CallbackArguments.succeeded,1,221,66,12,1,0.01,32,869,0,0,0,0,0,0.00,0.00
org.junit.rules.TestRuleTest.onlyApplyOnceEvenIfImplementsBothInterfaces,0,212,63,11,1,0.01,29,824,0,0,0,0,0,0.00,0.00
org.junit.internal.runners.ErrorReportingRunnerTest.cannotCreateWithoutClass,0,49,19,7,1,0.00,22,225,0,0,0,0,0,0.00,0.00
org.junit.tests.running.classes.SuiteTest.whatHappensWhenASuiteHasAForkingCycle,0,177,56,12,1,0.01,4,742,1,0,0,0,0,0.00,0.00
org.junit.rules.StopwatchTest.succeeded,4,216,70,13,1,0.03,69,883,1,0,0,0,0,0.00,0.00
org.junit.rules.RuleMemberValidatorTest.rejectNonStaticClassRule,1,85,31,9,1,0.05,29,343,1,0,0,0,0,0.00,0.00
org.junit.tests.running.methods.AnnotationTest.testStaticMethodsCanBeTreatedAsShadowed,1,224,73,16,2,0.01,37,896,0,0,0,0,0,0.00,0.00
org.junit.tests.description.TestDescriptionMethodNameTest.methodNameTest[5],0,62,21,8,1,0.03,28,240,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.fails,0,50,19,7,1,0.00,22,218,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.AssertionTest.assertThrowsWrapsAndPropagatesUnexpectedExceptions,0,60,20,7,1,0.02,33,250,0,0,0,0,0,0.00,0.00
junit.tests.framework.ComparisonCompactorTest.testComparisonErrorOverlappingMatches2Context,1,45,13,4,3,0.05,24,194,1,0,0,0,0,0.00,0.00
org.junit.runner.notification.SynchronizedRunListenerTest.hashCodeDelegates,2,51,20,7,1,0.01,9,203,1,0,0,0,0,0.00,0.00
org.junit.rules.TimeoutRuleTest.nullTimeUnit,1,226,72,12,1,0.01,38,901,0,0,0,0,0,0.00,0.00
org.junit.tests.manipulation.SortableTest$TestClassRunnerIsSortable.sortingForwardWorksOnSuite,1,203,64,14,1,0.01,23,838,0,0,0,0,0,0.00,0.00
org.junit.rules.TestRuleTest.validateWrongTypedField,0,205,69,14,1,0.00,22,838,0,0,0,0,0,0.00,0.00
org.junit.tests.validation.BadlyFormedClassesTest.constructorException,1,204,61,11,1,0.01,29,802,0,0,0,0,0,0.00,0.00
org.junit.tests.assertion.MultipleFailureExceptionTest.assertEmptyWrapsAssumptionFailuresForManyThrowables,1,55,21,7,1,0.07,37,238,1,0,0,0,0,0.00,0.00
org.junit.runner.notification.ConcurrentRunNotifierTest.reportConcurrentFailuresAfterAddListener,2,56,21,7,1,0.06,54,230,0,0,0,0,0,0.00,0.00
org.junit.tests.manipulation.OrderWithTest$TestClassRunnerIsOrderableWithSuiteMethod.orderingBackwardWorksOnTestClassRunner,3,236,72,15,2,0.00,27,1010,0,0,0,0,0,0.00,0.00
